,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
0,8.15E+17,8.15E+17,12/31/2016,sterlovesfood,2016 was the best year so far   ,"['#salty', '#depressed']",2016 was the best year so far  #salty #depressed,0
7,8.15E+17,8.15E+17,12/31/2016,shannonmburke91,So over new years think I'm just going to sleep into the new year.  ,"['#depressed', '#over2016']",So over new years think I'm just going to sleep into the new year. #depressed #over2016,0
14,8.15E+17,8.15E+17,12/31/2016,sadstuff01,I miss her so much ???© ,['#depressed'],I miss her so much ???© #depressed,0
16,8.15E+17,8.15E+17,12/31/2016,karenkatherine1,If my life is goin to continue bein this boring then am definitely not ready for 2017 ,['#depressed'],If my life is goin to continue bein this boring then am definitely not ready for 2017 #depressed,1
17,8.15E+17,8.15E+17,12/31/2016,_ashes2beauty_,I get to spend New Year's home again alone and lonely. ???ï ,['#depressed'],I get to spend New Year's home again alone and lonely. ???ï #depressed,1
18,8.15E+17,8.15E+17,12/31/2016,sazbrad,World is crumbling around me but hey...2017 is nearly here...that should fix everything!! Haha yeah right :/  ,"['#tired', '#depressed']",World is crumbling around me but hey...2017 is nearly here...that should fix everything!! Haha yeah right :/ #tired #depressed,0
21,8.15E+17,8.15E+17,12/31/2016,i_am_dtub,"don't know why i was   yesterday (yes i do) but today im usual happy, but fatigued. :)","['#depressed', '#triggered']","don't know why i was #depressed #triggered yesterday (yes i do) but today im usual happy, but fatigued. :)",0
25,8.15E+17,8.15E+17,12/31/2016,esotericeddy,Happy New Year Got so much to do over next few months it's overpowering. Guess I'll start 2017  and try to work towards happy...,['#depressed'],Happy New Year Got so much to do over next few months it's overpowering. Guess I'll start 2017 #depressed and try to work towards happy...,0
26,8.15E+17,8.15E+17,12/31/2016,kazzalou82,I really feel lk crying right now   ,"['#depressed', '#noideawhy', '#silly']",I really feel lk crying right now #depressed #noideawhy #silly,1
31,8.15E+17,8.15E+17,12/31/2016,188post,no new years looks tonight girlies i am ,['#depressed'],no new years looks tonight girlies i am #depressed,0
44,8.15E+17,8.15E+17,12/31/2016,sarahjayne2603,"Sigh ???î another year coming to a close. For the first time in a while, I want to be alone.  (1/2)",['#depressed'],"Sigh ???î another year coming to a close. For the first time in a while, I want to be alone. #depressed (1/2)",1
