,tweet,target
0,Today in Selfcare: beauty &amp; laughs Kung Fu Panda 3 #Wellness #joy #laughter #selfcare #therapist #philadelphia,0
1,I get to spend New Year's home again alone and lonely. ???• ,1
2,"Depressed and lonely /: Stuck in a deep, never ending hole :(  ",1
3,"If this is your response to someone saying they're dealing with , you're a terrible person.  ",0
4,Apparently you get a free pass just by mentioning    Where was I on the free badge day??!!,0
5,When you will never again give birth to violent men..   pic.twitter.com/pkdPhhlUuZ,0
6,Learning to pretend to have a good time had become a natural skill. I hope one day it is genuine,1
7,Aw man im outta pizza rolls ,0
8,When you go out and try to be a part of life & end up feeling like you are less a part of it then when you started.   pic.twitter.com/J625NXrWDb,0
9,So far he stop texting me…after I said something…so hopefully he doesn't show up at my house…,1
10,Portable Transparent Tobacco Rolling Machine  pic.twitter.com/k7Sb0Q11fW,0
11,*sigh* ???? I haven't cried so much…I'm in so much pain…,1
12,Our last group of 2016 was our new  project (even more relevant at this time of year) & they laid on some welcoming festive food  pic.twitter.com/AOwwxTDona,0
13,@MargoGray48 @waff48 @trentnews @katcampbellwx Good morning Margo! We are😀have a terrific Tuesday dear,0
14,I'm so  that I dropped my phone in the toilet.... I'm no longer  for now....  ugggh,0
15,"Me and @DicksonEmily's snap streak is at 260, if that's not amazing I don't know what is #commitment",0
16,Carly &amp; Theo Blair! Carly was camera shy but still enjoyed playing with her brother here at The Dog House Pet Resort!,0
17,"If optimism is the ??—� to success and if you can achieve a + outlook through positive thinking, there is no excuse for failure. ",0
18,Thank god the last presentation is over! âœŒ tomorrow is our last day at uni this year. We really need a few days off.  ,1
19,Plum Blossom Patterned White Ceramic Smoking Pipe  ,0
20,"No, I'm not 'depressed because of the weather,' I'm depressed because I have #depression #sicknotweak",1
21,should of just slept through this charger game ,0
22,You got me w that one @AmazonPrime ! New #theTICK trailer is #hilarity,0
23,Very sad day in Edmonton!  Praying for all who lost their lives.  ,1
24,"@na_dirs Omg you're savage prof, this is hilarious 🤣🤣",0
25,It's been a strange year. I beat  at last. I started 2 believe that  it really is2017 I'm ready ???…,0
26,Losing my uncle after the wedding its just....I dunno ,1
27,If youre  youre living in the past. If youre  youre living in the future.  If youre at  youre living in the present,0
28,Nobody cares in real life and nobody cares here. I'm gonna stop sharing my nightmares to people who are more worried about likes than actually helping a person out.,1
29,Saturday nigjt watching this is england 90,0
30,"""I'm telling you, the  eats you alive""",0
31,@TheSocialCTV I'd never leave the couch again! #excited and #weary ❤️,0
32,Today is already off to a great start..... 🙄 ,0
33," is dangerous. Itâ€™s addicting. Once you see how peaceful it is, you donâ€™t wanna deal with  ",1
34,"My wish for 2015 is that no one suffering from  should EVER feel alone. That they would receive help, love, support & kindness.",0
35,"@WorldFringeDay Heehee. I did chuckle to myself when i saw what it actually was, so you did get a laugh out if me. \n😀",0
36,  How come I see no value in my own life...?  It feels like I was born this way; seeing no self values.,1
37,Today is already off to a great start..... 🙄 ,0
38,@honeyfriess Now that's a #HappyThought to start your week!,0
39,Once a flirty always a flirty  .,0
40,"Sometimes I want to apology just to make things better.  I have nothing to apologize, very opposite of that, I deserve an apology.  But my heart smells of loneliness and desperation...  ",1
41,Hello everyone! How are you? Sinong excited na for live shows? Hahaha don't worry we are too 😃😬,0
42,Been kicked to the kerb by a big company yet again in my quest 4 a decent job,1
43,I really got a hair cut last night  ??,0
44,"Just Paracetamol is Anti-pyritique, cant anawer correctly due to too much nerve. What a shame!!! ",0
45,is in the news a lot for treating  and other conditions; but what is it? Contact us to learn more! ,0
46,"@FairtradeUKNews @adamawine Wishing you a joyful day with great food, wine and company 👌",0
47,Heard a person detailing his branded cloths arrogantly today. It sounded more like him wearing  instead of cloths. ,0
48,It's a #blessing to love it's a blessing to have someone to love,0
49,Good nite.                                         ,0
50,It is the first purpose of  to make  bearable. Robert Brault,0
51,@whounfollowedme - I'm #very #glad to see You in my community !,0
52,"Gene Simmons, Ph.D. offers mental wellbeing to  souls. ",0
53,"@J_UGO_ @TopPlanet63 Vestiti Black and White, stile blues Brothers",0
54,I've come to the realization that my phone isn't going to make it through the day. ,1
55,Michael has been in bed all day barely functional from car +bad cold I have one  Katman :-(,0
56,Absolutly shocking service from @bookingcom especially when owed £327 Expected better from a comp Ive dealt with 4 yrs #unhappy #badservice,1
57,@Orin_Atlantis 'I am much more cheerful when you are around',0
58,One of my best friends got engaged ????  ,0
59,"today I died to a mech in fortnite I'm  and , going to blAcK ouT my profile picture smh my head",0
60,I forgive everyone. It's rare for me to hold a grudge.,0
61,2 more weeks! 😮😊  #painfree,0
62,The  in the NPP is deeply rooted because of Nana Addo's divide and rule style of slave 'mastership',0
63,@hymie094 Me too.....without hesitation.,0
64,I'm so ready to take off my sneakers. They hurting me 😭,1
65,"People bring you down. Love fails from time to time. You get lost, then can't find your way.   ",0
66,!!   2016 officially the worst year in history!!! ,0
67,"This journey to become a YouTuber isn't easy for me. I walk with a purpose to fix me. To record it, edit it, then post it for all to see ain't easy. I do it for the one person that needed the message not the haters.  ",1
68,145  ????????????????????????????????????????  ???????????????????????????????????  ???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????  ??????????????????????????????????????????????????????  ?????????????????????????????????????????????????????????????????????????????????,0
69,I just don't want to participate anymore.,1
70,"Quote of the day comes from Queen Cersei herself @IAMLenaHeadey 'Power hungry people are fearful, otherwise why wouldn't you just chill?' 👏",0
71,"@mandzvester 😂😂😂\nThats why I work on my own, to many miserable fok around 😂\nAfternoon Smiley😃x",0
72,"John 14:27\nLet not your heart be troubled, neither let it be afraid. #peace #afraid",0
73,It's now raining and I can hear thunder growl somewhere. Good day to read some more.,0
74,Gonna find my baby gonna hold her tight gonna grab me some afternoon delight,0
75,"@johntassparker Well, at the time, I think there was that concern. Now it is all bright and shiny with a price tag to match.",0
76,Something nobody will read   .  pic.twitter.com/XQ5Qtey1B4,0
77,The incredible Dr. David Feifel and I. Wouldn't be alive if it wasn't for this man! Such an amazing person!    pic.twitter.com/UW3p1yD9EZ,1
78, to combat  make your bed in the AM so you're less inclined to get back in it & stay there all day.,0
79,"@KatRamsland 'call to action by TV host John Oliver, who urged viewers to leave comments expressing their displeasure at the FCC's policies.",0
80,"""Anxiety is like a tornado, the most violent, horrific, and destructive atmospheric phenomenon""  ",0
81,@SatisfyingTaste @TheAnimalVines I used to make the peanut butter energy balls all the time. My famjam loved them! #recipes #yummy,0
82,"@Kara1818 I’m glad to hear that, Kara. Don’t hesitate to get in touch again if you need to! Cheryl",0
83,Anohni's  is the underrated album of the year.,0
84,This Wednesday @ChandlerBMusic #kickstarter begins! Y'all be READY! #ChandlerBayMusic #ChandlerBayEP #tantrum,0
85,Honestly can’t trust anyone at this point. ????,1
86,"?????????? 10 ???????? ??????????, ???????? ??????, ??????! how can I understand that shit??? why is that so fast? ????  ",1
87,@DOBrienAJC What did you do to rile up all the Roberts?,0
88,@huedrinkwater happy birthday cuzy xxx,0
89,Don't ever frown upon someone chasing a dream. Remember you were once chasing one too. HUMILITY ......,0
90,"No mater how many times you lose in a game, it will always tell you ""try again""... When things go sideways, sit back and enjoy a favorite game.   ",0
91,"We are open all through this  for info, advice or even a chat: 0800 4 70 80 90    pic.twitter.com/0g6kGdIoPI",0
92,I am not even a nobody to anyone,1
93,"So close to  just wondering why in feeling so  ""'tis the season to be Jolly""",0
94,@emaalymaae Looks beautiful 😘,0
95,Why are people on twitter so depressing...,0
96,"So excited for tonight, I actually feel a bit sick 😅",0
97,Oh sorry I'm on your bestfriends list?   ,0
98,@JustinOEarlwood #awesome news for the blues,0
99,Can I just stay in bed and do nothing? I'm not feeling life today...,1
100,Johnny Cash going on day three sleeping in my bed. I must be severely depressed cus he can sense it.  ,0
101,No matter how much you tell yourself that you've accepted relegation it takes a day like today to prove that you haven't,0
102,??’•you are significant ??’•    pic.twitter.com/28QHqxYkc9,0
103,seeing sope perform otsukare always makes me happy no matter how much of a bad day I have,0
104,"Bertolacci will join Genoa on a dry loan with no option to buy, done deal- Sky....At last he's gone #rejoice",0
105,Then come Jan 1 . Like u can just stop depression kmt  pic.twitter.com/ejRYNYHN6s,0
