,ID,Tweet,Affect Dimension,Intensity Score,target
0,2018-En-03332,Be happy. Be confident. Be kind.\n\n #KissablesLoveSMShopmag\nAllOutDenimFor KISSMARC,joy,0.6609999999999999,0
1,2018-En-01146,@queenjlouise @mamaw_gereck awe thanks 😊,fear,0.08900000000000001,0
2,2018-En-02249,@Ithika Loving it! 😂,joy,0.813,0
3,2018-En-00192,@mir_btc Eherium should make everybody happy,joy,0.515,0
4,2018-En-03117,Shitty is the worst feeling ever #depressed #anxiety,sadness,0.895,1
5,2018-En-03461,"I didn't know, that there existed such sheer and utter joy and contentment, as that which I am now experiencing. #grateful 🙏🏽",joy,0.8390000000000001,0
6,2018-En-01466,Chiropractor time  #crackle #pop #chiropractor,anger,0.172,0
7,2018-En-03854,Every time I see the #GBBO advert..... #sugacravings #yummy #dietgonetohell     😋😋😋,joy,0.625,0
8,2018-En-01470,oh how i just love love love glee doing billy joel's numbers!!!!,joy,0.742,0
9,2018-En-01290,Listening to @danauerbach and watching the #eclipse at the dog park #bliss,joy,0.547,0
10,2018-En-01693,Any #GOP senator who refuses to #RepealAndReplace needs to bear the #wrath of their constituents @ polls home state!  #healthcare #price2pay,sadness,0.289,0
11,2018-En-01064,"@Liz_Hanbury Oh no, jumper on again, has it turned colder? 😟 Have a terrific day🙋🏼🌸🌼🌻💕💕",fear,0.25,0
12,2018-En-00682,I have uploaded my first article for @TheProteinWorks! Keep your eyes open for more 😉💪👌#recipes #nutrition #gainz #delicious #biggestfan,joy,0.7140000000000001,0
13,2018-En-01630,@Kawells00 So bright that kill my heart😂,joy,0.5760000000000001,0
14,2018-En-01615,Excellent customer service from @ao this morning. Thank you Kharis for your help! #CustomerService ,joy,0.75,0
15,2018-En-00943,"I was taught, there's nothing out there to #fear; just go out there turn #dreams into #reality, use other people fears to your advantage.",fear,0.35,0
16,2018-En-00766,@bbcbristolsport so proud of City...2 Bristol boys scoring and a great performance...where's the cider  #OTIB,joy,0.594,0
17,2018-En-04031,"Seriously, why do people punish children for 'sass'? Wit should be rewarded, not discouraged!",fear,0.355,0
18,2018-En-03103,@ActuallyNPH @RealJamesWoods I didn't realize you weren't acting... You actually are that guy. #smh  #Hercules #ghostsofmississippi,fear,0.35,0
19,2018-En-03832,"Spread the love means no matter how hard life is, never stop smilling :) and be happy. Always.",joy,0.688,0
20,2018-En-01829,@nkrrao karamadai ranganatha. Pallikondeeswarar shiva. Some more avl. Dont outrage without reason @kalps1616,fear,0.397,0
21,2018-En-00966,@AsfandKhan6 Glad it went well 😄,joy,0.6559999999999999,0
22,2018-En-02719,@miracles_J yaaay finally brave enought to comment on their vlive 😅,joy,0.516,0
23,2018-En-01275,if jk realize what taehyung did can he do that to taehyung as a revenge? i would love to,fear,0.355,0
24,2018-En-01771,@shahidafridi37 at his best.... Great to watch u go big sir. #tremendous hits \nDts boom boom Afridi 😍,fear,0.133,0
25,2018-En-01467,@RosieHale Bro no you don't you'll be so dissapointed in me 😂 il let you read it next time you're down here tho 💁,sadness,0.271,0
26,2018-En-01744,"Always laugh when you can, it is  cheap medicine 🤣",joy,0.6409999999999999,0
27,2018-En-03443,better care about yourself than about others because others wont care about you #lonely #sad #depressed,sadness,0.853,1
28,2018-En-00636,Less than 7 weeks to go ,fear,0.33299999999999996,0
29,2018-En-03958,"@mcmalveiro Hi Miguel, that's awesome! Thank you very much for updating us! 😄 -Claire",joy,0.828,0
30,2018-En-02578,"@WorldFringeDay Heehee. I did chuckle to myself when i saw what it actually was, so you did get a laugh out if me. \n😀",joy,0.578,0
31,2018-En-02620,@MegZ1498 Before 10am town going clean up. Doh fret.,anger,0.281,0
32,2018-En-02444,yesterday was amazing. thank u #mtv cant wait for the #interview the #irony is 7.10 was also supposed to be my 7 yr anv. plus6yr. ,sadness,0.214,0
33,2018-En-00260,@tenderlove listened to your CUSEC 2015 talk again for inspiration in writing my own conference talk #tornado of #laughs,joy,0.516,0
34,2018-En-01445,"@askGST_GoI without the process of boiling and drying, it cannot be used for coooking.",anger,0.266,0
35,2018-En-03630,I definitely know my karaoke song now so hmu and it's by Britney shocking,fear,0.259,0
36,2018-En-02189,Thames beach #datamosh #glitch #glitchart #digitalart #abstractart #newmediaart #imagemanipulation #londontown #riverthames  #dystopia,sadness,0.273,0
37,2018-En-01604,@benoitgomis @AU_SIS @HugoRosemont @alex_corbeil My pleasure: hope it was useful and happy to keep the conversation going!,joy,0.625,0
38,2018-En-03688,You was born with a purpose to help make the world a better place not to sit and do nothing!!! - @Balrsclub #Motivation #LoveIsland #fear ✨,fear,0.365,0
39,2018-En-01556,@Tayylittle Mmm..is there any other way to start the day? ☕️ #yummy,joy,0.672,0
40,2018-En-01013,just watched @Alicelevine on Love on @BBCiPlayer #hilarious,joy,0.563,0
41,2018-En-02698,May #Allah keep us safe and your #Providence. May U replace sadness with #happiness and &amp; instill endless #love in your #heart Stay #bless.,joy,0.5479999999999999,0
42,2018-En-03957,Been spoilt even got a Kylie lip kit 😆,joy,0.53,0
43,2018-En-02119,Being able to sleep in just boxers is probably one of the best pros that comes with being a guy #breezy,joy,0.53,0
44,2018-En-00783,Full of #optimism after the FP Summit yesterday. Thanks to @melindagates @FP2020Global @UNFPA and @DFID_UK we're thinking about #HerFuture,joy,0.7120000000000001,0
45,2018-En-00521,Strapless wedding dresses look awful on most people. \nJulianne Hough looked great 👌🏼,fear,0.2,0
46,2018-En-01398,Going to bed with dry and clean hair. #blessing,joy,0.545,0
47,2018-En-00043,it takes sadness to know happiness\nabsence to value presence,anger,0.29,0
48,2018-En-00719,#happy #birthday #day trip #great day #super nice weather #blue sky #good mood #fun #love #ice cream #lycklig #födelsedag #öland,joy,0.733,0
49,2018-En-04135,@ShaneMalwa @MajorPoonia @devyanidilli I believe ur mekka n madina also dikling which u kiss. A dark dirty one,fear,0.386,0
50,2018-En-03561,when you try your best but you don't suceed!!!😞😭😭😰😰😢😢#Sad #alone #tears #b #bored #boredtodeath,sadness,0.958,1
51,2018-En-01712,It takes less #muscles to #laugh than to #frown - stops facial &amp; mental aging too! Laugh strongly &amp; often to #lead effectively! #leadership,anger,0.22699999999999998,0
52,2018-En-02774,@Harry_Styles Hi H how are you?Thankyou for always making me smile+being so genuinely kind!You deserve all the happiness in the world.67.801,joy,0.672,0
53,2018-En-04279,Excited about the upcoming cheer season! 😬😳#cantsleep #wideawake #eat #sleep #cheer #repeat,joy,0.828,0
54,2018-En-02659,"smile princess , it looks good on you ..",joy,0.621,0
55,2018-En-02803,Witnessed pure beauty from Ft. Lauderdale #SolarEclispe2017 ,joy,0.621,0
56,2018-En-03656,Every time I fart my dog jumps in fear hahahaha yass,fear,0.242,0
57,2018-En-03176,Ot6 still exist? #julid #deletesoon ,anger,0.25,0
58,2018-En-02310,Good Morning #start 2Wheel #free course *Pune *8888006565,fear,0.179,0
59,2018-En-03973,@executivegoth I tried a free Alpha trial to watch #dread and I'm sold. Worth the subscription alone. You all are incredible!,fear,0.179,0
60,2018-En-02333,@cnn please get Sebstian Gorka off of my tv.  The whole trump admin. needs to stop deflecting by talking about Hillary. ,fear,0.32799999999999996,0
61,2018-En-03123,I make nebulizer look sexy #DarthVader #breathless #sexy #nebulizer #girl,fear,0.204,0
62,2018-En-00983,Who wants hot snapping?\nAdd me : rchar28 \n #nudes #snapsex  #snapchat #sexting #cam #hot #trade #pics #swap #horny #chaud #pussy,anger,0.182,0
63,2018-En-01379,"When being #productive (doing the things that NEED to be done), #anxiety levels decrease &amp; #libido increases. #personalsexuality",fear,0.321,0
64,2018-En-02076,The best revenge ever....is success👌👊💪,anger,0.156,0
65,2018-En-03562,It's #AmazonPrimeDay! And I'm #broke. So in reality it just another day for me #depressing,sadness,0.81,1
66,2018-En-02755,Tue blues,sadness,0.2,0
67,2018-En-02493,This Wednesday @ChandlerBMusic #kickstarter begins! Y'all be READY! #ChandlerBayMusic #ChandlerBayEP #tantrum,anger,0.19399999999999998,0
68,2018-En-02166,If your only response to this current political crap show is 'but Hillary!!' Or 'but Obama!!' you need to start looking for a new argument.,fear,0.32799999999999996,0
69,2018-En-02853,Just finished playing Mystic Messenger. And I didnt expect the amount of angst in it! 〒▽〒\n #mysticmessenger #feels ,sadness,0.292,0
70,2018-En-00580,Just tried @GoodmanBakery for the 1st time... GF for 13 yrs &amp; these are some of the best baked goods I've ever had! DF is a bonus! #yummy,joy,0.727,0
71,2018-En-02726,"#AI #revolation, soon is possible!\n #fearless  #good #goodness",fear,0.19399999999999998,0
72,2018-En-03045,@KerryKatona7 Stunner cute like her mum 😃,joy,0.516,0
73,2018-En-02848,Jay Z came out of retirement just to drop the album of the year on y'all...let that sink in. Have a great day y'all 🙌🏿,sadness,0.28,0
74,2018-En-03841,@NBCNews @MarkHalperin @KeirSimmons Well that's funny cause we all know she is a serious Russian mafia atty,joy,0.5589999999999999,0
75,2018-En-02950,@pattonoswalt @EricaRoman_ Amazing how folks are foaming at the mouth to judge. We're happy for you @pattonoswalt !!!!!!!!!!,sadness,0.239,0
76,2018-En-01867,beautiful day Lord has made let us rejoice &amp; be glad in it &amp; rejoice Hillary NOT president! God bless POTUS &amp; United States of America🇺🇸👍,joy,0.591,0
77,2018-En-01389,Mentally suffered #iwanttodie #worthless #lifewithoutcolor  #pain #suicidal,sadness,0.857,1
78,2018-En-01188,@help_dms___ So good lunch 😊,joy,0.682,0
79,2018-En-00687,"You turned my world with a smile, and you take my heart with a kiss",joy,0.688,0
80,2018-En-01854,Happy happy birthday @mrjaxtaylor  hope your day is f*n awesome! Have a drink or two or five for me!!,joy,0.7340000000000001,0
81,2018-En-04355,To go back in time to the 1st grade so you can walk up and shove your bully on the playground. Little asshole.\n#StupidReasonsToUseTimeTravel,fear,0.32799999999999996,0
82,2018-En-01964,Gm and have a  #Tuesday!,fear,0.2,0
83,2018-En-03118,A beautiful day starts with you being cheerful and letting the #joy of the #Lord spring out of you &lt;3\n\nNelly Cruz,joy,0.703,0
84,2018-En-00362,@SteveConteNYC lovely! 😀,joy,0.672,0
85,2018-En-01160,"@_lanimoreno and I had Chem, Anatomy, and now IB Sports together (': #amazing",joy,0.547,0
86,2018-En-03605,' A good laugh and a long sleep are the two best cures.' — Irish Proverb #laughter #sleep #happiness,joy,0.531,0
87,2018-En-04303,My daily actions are congruent with my big goals.  I feel incredible about myself. #goals #success #justdoit #happy #enjoy #life,joy,0.875,0
88,2018-En-00100,@superdupertashy What's with the frown? Cheer up!,anger,0.29,0
89,2018-En-02130,ain't no sunshine when she's away ♫ ,fear,0.15,0
90,2018-En-02856,NEW MUSIC FRIDAY: FIRST SINGLE OFF THE NEXT PROJECT. #untitled #mattrod #hiphop #boston #hartford #animosity #thesemycities,sadness,0.265,0
91,2018-En-03102,#31DaysOfJoy Laughter brings me so much joy! It's good for the ❤️. #laughter #laughterishealing #laughterisgoodforthesoul,joy,0.813,0
92,2018-En-02771,Because I'm happy clap aLong if you feel like happiness is the truth',joy,0.7190000000000001,0
93,2018-En-04017,Bout to cry 😭 I just wanna sleep I hate this job 😩,sadness,0.852,1
94,2018-En-01480,Happy birthday to @LauraJillSomers! Hope you have a lovely and wonderful day. :) *fellow Cancer fist bump*,joy,0.672,0
95,2018-En-00276,we mourn the death of our hopes today #james,sadness,0.87,1
96,2018-En-04366,#Laughter strengthens #relationships. #Women are more attracted to someone with the ability to make them #laugh.,joy,0.561,0
97,2018-En-03012,@WILLLANNO Man u r just bitter about Manu making great strides...,fear,0.26,0
98,2018-En-01718,2nd time this week I received services for free. It pays to be nice! #kindness #friendliness #bekind #smile,joy,0.7190000000000001,0
99,2018-En-04230,So happy I get paid tomorrow so I can sort my bloody hair out before holiday ,fear,0.28300000000000003,0
100,2018-En-00206,Uncharted 4 on Crushing is the least fun I've ever ha splaying a video game  ,fear,0.276,0
101,2018-En-02843,@doddledisney You're adorable 😭,joy,0.531,0
102,2018-En-03789,Difficult roads often lead to Beautiful destinations! #keepgoing #keeppushing #startsomewhere #key #start,fear,0.077,0
103,2018-En-03870,Genuinely and perfectly #happy,joy,0.875,0
104,2018-En-00484,Time to get my dreads back I miss them 😩😩 #dread head #girlswithdreads,fear,0.35,0
105,2018-En-02340,@CPC_HQ Immature...and Trumpy. Sad one guys😕 Does this represent the intelligence and moral depth of CPC ? #bully #notinmycanada,sadness,0.833,1
106,2018-En-01902,"Me and @DicksonEmily's snap streak is at 260, if that's not amazing I don't know what is #commitment",fear,0.281,0
107,2018-En-03003,"I love a bright life apart from any darkness and toxicity. Plenty of light and colours, smiles and good feelings, a healthy life..🍃🍂",joy,0.688,0
108,2018-En-00068,damn dave chapelle's new netflix collection is fucking hilarious i love him sm,joy,0.688,0
109,2018-En-01133,I'm kinda glad that I know about 2 to 4 people in all my classes that I can talk to #relieved,joy,0.516,0
110,2018-En-01904,@ian_beckett Have the most wonderful day Ian. ,joy,0.531,0
111,2018-En-04061,"@JoeGibbsRacing who designed that scheme for the interstate car? and how did whoever approves it, approve it??  #yuck",fear,0.379,0
112,2018-En-01816,The @StandardDiary nailing @SarahTheDuchess the other day was very amusing! 'I've written 56 books... ' @standardnews #hilarious #funny,joy,0.813,0
113,2018-En-04043,"I'm an Indians fan so, I hate Joe Buck. Im glad he looks old af now. 😂 #bitter #AllStarGame",sadness,0.276,0
114,2018-En-01847,Just enjoyed a delicious salad drenched in Theon Nectar's Greek Extra Virgin Olive Oil  – absolutely DELICIOUS!! Mmmmm! #yummy #healthy,joy,0.773,0
115,2018-En-04072,@realDonaldTrump where's the proof? ,sadness,0.24100000000000002,0
116,2018-En-03991,@ChickfilA has forever changed my life 😍 #blessed,joy,0.7190000000000001,0
117,2018-En-02477,@alxcxrte You're not a baby boy and you're sulking. Au contrairé. [Chuckles as I shake my head],fear,0.33899999999999997,0
118,2018-En-02800,Santorini is so beautiful 😍,joy,0.652,0
119,2018-En-04193,I give up! #simples #unhappy #fedup,sadness,0.875,1
120,2018-En-01396,I want to be like Eunice. #relentless,anger,0.297,0
121,2018-En-02207,@theviberide great workout this morning alongside @Emily_Gagnon thx #Courtney my legs are still ,fear,0.271,0
122,2018-En-03631,Nothing better than a clear head #smiles all round,joy,0.645,0
123,2018-En-02518,I didn't give @chelsopat @s0ccer15 credit for bringing me chocolate milk so here it is 🙏🏼 #grateful,joy,0.563,0
124,2018-En-03268,@KB_KrishnaBeura @Twitter @TwitterIndia @verified Congrats Krishna sir 😃,joy,0.609,0
